rebalance_date,AAPL,AMZN,AXP,CLNE,CMCSA,CRM,CRWD,DBX,DIS,GOOGL,IBKR,MORN,MSFT,NFLX,NVDA,PANW,PYPL,QCOM,RBLX,T,V,WBD
2020-09-30,0.11497915346131467,0.07310412323459262,0.0,0.030723852014213366,0.10707438371289549,0.03556148232382866,0.12126072255096024,0.0,0.037198470831233336,0.0,0.005172202581595858,0.1435453921002442,0.0,0.0,0.0715362913048492,0.05084064027388863,0.10657006376134705,0.060029863628627646,0.0,0.0,0.0,0.0424033582204091
2020-10-30,0.12755065242401112,0.026769272223447983,0.01236991391189555,0.009638134602701335,0.07688968320042587,0.0674880177319692,0.10319359504095067,0.0,0.03378088434381643,0.0,0.061607168040853845,0.15619530027638515,0.0,0.0,0.12287548726685864,0.0,0.09000895901365241,0.11163293192303195,0.0,0.0,0.0,0.0
2020-11-30,0.06656198978697325,0.02595470067355784,0.041374936585678077,0.07116522401892707,0.14028938752775708,0.03598121348907675,0.10661752000467292,0.0,0.04066623308158945,0.019562486551690038,0.056571332511035875,0.11968932797104476,0.0,0.0,0.04912164492793738,0.0,0.024757772482705782,0.14042461082383642,0.0,0.0,0.0,0.06126161956351729
2020-12-31,0.04551585774068822,0.0,0.0,0.040451668355146936,0.08783321878504417,0.0,0.0975199009254018,0.0,0.13181895674516803,0.00983386824704459,0.10811170598169434,0.22259737328993845,0.0,0.0,0.03307661396552227,0.048132560950508115,0.007978992640274012,0.07772352955693629,0.0,0.0,0.0,0.08940575281663271
2021-01-29,0.07302372221666785,0.0,0.005048451939118905,0.06047046238472785,0.0093111749984369,0.0,0.10524106626088779,0.0,0.13844989286039308,0.015423187910725729,0.022742970872427562,0.18346320525144882,0.0,0.0,0.015509734321841386,0.04676442634538077,0.0029398569836281007,0.08517804896974039,0.0,0.0,0.0,0.23643379868457498
2021-02-26,0.0,0.0,0.014788063016801448,0.0343409141747236,0.041107236114548196,0.0,0.1061941321503934,0.004274698609829687,0.07511967672233702,0.07805701053616623,0.08173855998764148,0.17173731768625705,0.0,0.03440912698621549,0.0,0.07168788057824542,0.036796508377335745,0.022692458895400253,0.0,0.0,0.0,0.22705641616410507
2021-03-31,0.0,0.0,0.05633832440854244,0.04680659675494685,0.0,0.0,0.047592419026089613,0.07668556548596281,0.0764051718800421,0.167533551063083,0.109343886268498,0.1698416451361764,0.04642936429767855,0.02717332558934688,0.0,0.026367726237426958,0.019796251673350633,0.004238508787404654,0.0,0.05304777202197835,0.0,0.07239989136947272
2021-04-30,0.0,0.0,0.07144132493217681,0.022693007320517457,0.0125574916580799,0.0,0.06281504063078813,0.059219376654492374,0.025185482592452714,0.16055438834373223,0.056237180316783354,0.0776277915693774,0.07712027668723474,0.0,0.008950066759947705,0.062419487755684025,0.019905354274440793,0.0,0.0,0.17543326912840693,0.04864739520380524,0.059193066172080276
2021-05-28,0.0,0.0,0.19378725162725297,0.009292199060409553,0.0,0.0,0.06345783872962546,0.11725177241912331,0.018625797723433733,0.181471613183389,0.038110362356531265,0.05969769087596737,0.12070490301035319,0.0,0.026104311023725044,0.038267229418413824,0.02090025740651194,0.0,0.0,0.06794389349681838,0.01555223498401563,0.028832644684429434
2021-06-30,0.0,0.0,0.2434182724531504,0.006381760011341667,0.03368842689013535,0.0,0.023339044339175108,0.09273401594712943,0.0,0.19933384931662618,0.0,0.01689317775683389,0.1558767133517751,0.0,0.124024737404636,0.0,0.02829265592413446,0.0,0.0,0.06027476273404241,0.0,0.015742583871020083
2021-07-30,0.0,0.0,0.24811370005713348,0.0,0.04802019949831169,0.0,0.032601309065188405,0.12197551117890708,0.0,0.23283041087458953,0.0,0.0008820615692899588,0.08757730113064548,0.0,0.11303668163237131,0.008195705300164694,0.0,0.0,0.0,0.0,0.10676711969339842,0.0
2021-08-31,0.05685145005506069,0.0,0.12602536432360942,0.0,0.09008385760780702,0.0,0.03013365241358423,0.12950973875552768,0.0,0.2085817427372878,0.0,0.07511534662258539,0.1451020893826778,0.0,0.10826557750253675,0.03033118059932321,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,0.058614726053168684,0.0,0.18224002233684466,0.0,0.03666064309254395,0.07244508925719473,0.021322998305476557,0.01606819113251302,0.0,0.18700812345162005,0.0,0.07027177305174917,0.10300647621076567,0.04077610401716608,0.11385022182540275,0.09488951463383047,0.0,0.0,0.0028461166317243266,0.0,0.0,0.0
2021-10-29,0.051411611727090904,0.0,0.12519894359700262,0.007427743375009732,0.0,0.07735966862171723,0.01111017596074609,0.0606217925950221,0.0,0.09163449087783393,0.0,0.07903131978243151,0.15274751281975124,0.16026511868467397,0.10489941084505254,0.074876289395345,0.0,0.0,0.0034159217183229833,0.0,0.0,0.0
2021-11-30,0.10831929032006632,0.0,0.0030346958929718605,0.012619862644674237,0.0,0.0884415753597363,0.0,0.0,0.0,0.045201203931908095,0.07865037903092655,0.1223568865225024,0.1722606260183901,0.13771760184656415,0.1027525376255316,0.08986133102134389,0.0,0.03878400978538444,0.0,0.0,0.0,0.0
2021-12-31,0.15797476580769632,0.0,0.0,0.0,0.0,0.021990425655752835,0.0,0.0,0.0,0.1017476595464071,0.1367648395885566,0.1788779711239303,0.09641043988017461,0.09181589998385706,0.05084470445107561,0.1240067184634854,0.0,0.03639239659467712,0.0031741789043870676,0.0,0.0,0.0
2022-01-31,0.2484957968695231,0.0,0.06195952817750723,0.0,0.0,0.012027777764321923,0.0,0.0,0.0,0.0,0.08316386453756336,0.10433038797605881,0.09370450108091495,0.0,0.0804076520566099,0.15518832372368455,0.0,0.05913426038815765,0.0,0.03273302929179995,0.03507285694867841,0.03378202118518011
